,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521868547579777025,CunningSports,1022,3117,“Bron And Kobe Was Nasty Early”: Ja Morant Joining Elusive Duo of Kobe Bryant and LeBron James After Torching Curry’s Warriors Leaves NBA Fans In Utter Disbelief https://t.co/rIJcMCJtbw #Basketball #GoldenStateWarriors,2022-05-04T15:05:11.000Z,0,,,"Basketball,GoldenStateWarriors",http://dlvr.it/SPlmpk
1,1521867351913861121,Cardfinder123,1066,4351,KOBE BRYANT BASKETBALL CARDS PI #whodoyoucollect https://t.co/2wYQzNYjzv,2022-05-04T15:00:26.000Z,0,,,whodoyoucollect,https://www.ebay.com/itm/KOBE-BRYANT-BASKETBALL-CARDS-PICK-YOUR-CARD-ROOKIE-PRIZM-MORE-LAKERS-/403554416715?var=0&mkcid=1&mkrid=711-53200-19255-0&toolid=20023&campid=5338911849&customid=050322&siteid=0&mkevt=1
2,1521863470722953216,EmyyValdez,1055,415,RT @kobemurals: The new basketball court and mural tribute to Kobe and Gianna Bryant at Pearson Park in Anaheim 🦋 https://t.co/3UIsF3zuSn,2022-05-04T14:45:00.000Z,567,1223748047244365825,kobemurals,,https://twitter.com/kobemurals/status/1521139941564026880/video/1
3,1521861145669349376,GigiConklin,254,1048,Hi! I'm raising money for ECU Bryant Basketball 2022. Would you please consider donating? Thank you! https://t.co/ad3Kse5oxe,2022-05-04T14:35:46.000Z,0,,,,http://www.snap-raise.com/fundraisers/ecu-bryant-basketball-2022/participant/10123044?share_type=twitter_sharewizard_v2
4,1521860287355367424,TeQuilaDre,63,309,"RT @datchuguy: Kobe Bean Bryant (41)
On January 26, 2020, a helicopter carrying former pro basketball player Kobe, his 13-year-old daughter…",2022-05-04T14:32:21.000Z,26,1212640495857356800,datchuguy,,
5,1521859696176467970,leavingforla,586,2201,"Shop #Lakeshow Frames, Puzzles, Prints, Phones Cases, Towels and more @ &gt;&gt; https://t.co/m0AaiUXK1G &lt;&lt; #LALakers #LA #LAL #LosAngeles #Lakers #lakernation #LakersNation #lakerswin #NBA #basketball #NBAAllStar #NBATwitter #NBA75 #Kobe #KobeBryant #MambaForever #MambaMentality",2022-05-04T14:30:01.000Z,0,,,"Lakeshow,LALakers,LA,LAL,LosAngeles,Lakers,lakernation,LakersNation,lakerswin,NBA,basketball,NBAAllStar,NBATwitter,NBA75,Kobe,KobeBryant,MambaForever,MambaMentality",https://fineartamerica.com/featured/kobe-bryant-nba-la-lakers-legend-sportspop-art.html
6,1521857370162348032,cardrecommender,383,1471,KOBE BRYANT BASKETBALL CARDS PI #tradingcards https://t.co/alnbdiRixv,2022-05-04T14:20:46.000Z,0,,,tradingcards,https://www.ebay.com/itm/KOBE-BRYANT-BASKETBALL-CARDS-PICK-YOUR-CARD-ROOKIE-PRIZM-MORE-LAKERS-/403554416715?var=0&mkcid=1&mkrid=711-53200-19255-0&toolid=20023&campid=5338911848&customid=050322&siteid=0&mkevt=1
7,1521850253888167937,abdelhamidghait,170,650,"The GOATS:

Basketball: Jordan/ Kobe Bryant
Boxing: Ali
Golf: Woods
American Football: Brady
Football: Cristiano Ronaldo/ R9
Baseball: don’t care
Tennis: Federer https://t.co/oqQ1zbIM3Q",2022-05-04T13:52:29.000Z,0,,,,https://twitter.com/cl13_sebas/status/1521618772636971010
8,1521848899454967808,SportsbookBTC,28020,26070,Ja Morant makes history by matching Kobe Bryant and LeBron James https://t.co/hzvE0Nuahl ⚽️⚽️  📲 Bet now via ⟶ https://t.co/0I4IIflkwI √ https://t.co/a9Agc7d41x,2022-05-04T13:47:06.000Z,0,,,,"http://dlvr.it/SPlXpc,http://betbitcoin.pro,https://twitter.com/SportsbookBTC/status/1521848899454967808/photo/1"
9,1521848240441860097,cardboardpromos,1000,3113,KOBE BRYANT PSA 9 2014 PANINI PRIZM #thehobby https://t.co/pBDowSHhIY,2022-05-04T13:44:29.000Z,0,,,thehobby,https://www.ebay.com/itm/KOBE-BRYANT-PSA-9-2014-PANINI-PRIZM-BASKETBALL-136-GOLD-PULSAR-10-10-LAKERS-/185410910541?mkcid=1&mkrid=711-53200-19255-0&toolid=20023&campid=5338896284&customid=050322&siteid=0&mkevt=1
10,1521847911142858752,swagafiedkicks,1068,41,"RT @DrHarris1911: In March, when Kobe Bryant’s widow, Vanessa, and Nike renewed their partnership, it was announced the newest shoe would h…",2022-05-04T13:43:11.000Z,1,20093582,DrHarris1911,,
11,1521845749453000705,YBelabyad,77,369,Anaheim park’s new basketball court honors Kobe and Gianna Bryant – Orange County Register https://t.co/YVOuuxgoQI,2022-05-04T13:34:35.000Z,0,,,,https://npsabasketball.com/anaheim-parks-new-basketball-court-honors-kobe-and-gianna-bryant-orange-county-register/
12,1521845729727332352,DrHarris1911,4414,584,"In March, when Kobe Bryant’s widow, Vanessa, and Nike renewed their partnership, it was announced the newest shoe would honor  Gianna “Gigi” Bryant, who died with her basketball legend father in a January 2020 helicopter crash. https://t.co/MQ4J8gJagl",2022-05-04T13:34:31.000Z,1,,,,https://www.blackenterprise.com/nike-releases-mambacita-sweet-16-shoe-in-honor-of-gigi-bryants-birthday/?utm_source=facebook&utm_medium=news_tab
13,1521844222734868480,Nwomay1,359,561,"RT @datchuguy: Kobe Bean Bryant (41)
On January 26, 2020, a helicopter carrying former pro basketball player Kobe, his 13-year-old daughter…",2022-05-04T13:28:31.000Z,26,1212640495857356800,datchuguy,,
14,1521842044418756610,Jasmine79627124,2,28,"@GottliebShow Man, I honestly thought Gigi Bryant was going to be the woman that eventually really put the WNBA center circle. Kobe was doing massive things for women’s basketball. That was the ticket.",2022-05-04T13:19:52.000Z,0,34930912,GottliebShow,,
15,1521841539550433282,Littlejuve,1,5,"RT @kobehighlight: When Kobe Bryant won an Oscar for ‘Dear Basketball’, it meant everything to him. 

“I feel better than winning a champio…",2022-05-04T13:17:52.000Z,332,1317092028090478602,kobehighlight,,
