,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521370368853700608,Kingshark49,1832,3578,RT @KingsharkSports: NCAA CBB: The top transfer portal commits and their fits: How Efton Reid helps Gonzaga ... https://t.co/EeQtPfR89D @Sa…,2022-05-03T06:05:36.000Z,1,1145419093714956288,KingsharkSports,,https://theathletic.com/3258853/2022/05/01/evaluating-the-best-fits-from-the-college-basketball-transfer-portal-from-brandon-murray-lsu-to-dawson-garcia-minnesota/
1,1521369328725020672,KingsharkSports,357,837,NCAA CBB: The top transfer portal commits and their fits: How Efton Reid helps Gonzaga ... https://t.co/EeQtPfR89D @Sam_Vecenie @CJMooreHoops @TheAthleticCBB,2022-05-03T06:01:28.000Z,1,"116512229,201412702,889283602374160385","Sam_Vecenie,CJMooreHoops,TheAthleticCBB",,https://theathletic.com/3258853/2022/05/01/evaluating-the-best-fits-from-the-college-basketball-transfer-portal-from-brandon-murray-lsu-to-dawson-garcia-minnesota/
2,1521095645523763201,sully4846,6806,6970,"RT @mm_andymac: physically? Princeton All Ivy guard Jaelin Llewellyn just signed w/ Michigan, Xavier Pinson(LSU and Mizzou) is still availa…",2022-05-02T11:53:57.000Z,1,22104051,mm_andymac,,
3,1520963191630491648,ttown12891346,20,187,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T03:07:37.000Z,7,116512229,Sam_Vecenie,,
4,1520959727315812354,Tommy8668,413,599,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T02:53:51.000Z,7,116512229,Sam_Vecenie,,
5,1520959300239183873,newbloodspod,250,95,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T02:52:09.000Z,7,116512229,Sam_Vecenie,,
6,1520958978594725889,TheZagaholic,3991,1720,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T02:50:53.000Z,7,116512229,Sam_Vecenie,,
7,1520940171243401216,uzigwezag,151,489,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T01:36:09.000Z,7,116512229,Sam_Vecenie,,
8,1520936242669514752,ScoreZagsScore,1827,702,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T01:20:32.000Z,7,116512229,Sam_Vecenie,,
9,1520936083042672642,blackzag05,1534,2571,RT @Sam_Vecenie: I gave some thoughts on Efton Reid’s commitment to Gonzaga. I’ve been a Reid skeptic for a little while going back to when…,2022-05-02T01:19:54.000Z,7,116512229,Sam_Vecenie,,
