,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521831450940633088,theXploer,96,71,"RT @WarshipCam: USS John Paul Jones (DDG 53) Arleigh Burke-class Flight I guided missile destroyer leaving San Diego - May 3, 2022 #ussjohn…",2022-05-04T12:37:46.000Z,5,1126896408139841536,WarshipCam,,
1,1521831104843554818,sweetqmpea,1696,1939,"RT @LightOnSports: Former Texas Southern Guard Bryson Etienne Commits To Southern Men’s Basketball. 🐆🔥 #GeauxJags 
(📸: @HoopScoopMedia ) ht…",2022-05-04T12:36:24.000Z,1,"1430906337592893454,1276904498955464704","LightOnSports,HoopScoopMedia",GeauxJags,
2,1521830696817471488,BobMcEwen,3105,1713,RT @TheLeoTerrell: This is the Texas National Guard who drowned trying to rescue migrants at the Southern Border. Any comment Joe Biden? Al…,2022-05-04T12:34:47.000Z,12147,1212806053907185664,TheLeoTerrell,,
3,1521830659098034176,ElleettaB,2,21,"RT @GOPGovs: .@GregAbbott_TX is getting the funding and resources needed to secure the southern border.
 
Thanks to Operation Lone Star and…",2022-05-04T12:34:38.000Z,11,"21878458,90651198","GOPGovs,GregAbbott_TX",,
4,1521830648356524032,patrickpucci2,7206,7673,"RT @Stuckio_513: @SagED_UP In order by first appearance
Han Solo
Indiana Jones
Snake Piskin
McCready (The Thing)
David (The Lost Boys)
John…",2022-05-04T12:34:35.000Z,1,"1267126748862386184,737538743200927744","Stuckio_513,SagED_UP",,
5,1521830058394066944,KatrenyaD,0,78,"RT @GOPGovs: .@GregAbbott_TX is getting the funding and resources needed to secure the southern border.
 
Thanks to Operation Lone Star and…",2022-05-04T12:32:14.000Z,11,"21878458,90651198","GOPGovs,GregAbbott_TX",,
6,1521829617283252224,Officiallariee,400,340,"RT @Officiallariee: Tag your favorite Greeks and let’s get a challenge started .. 
Song: Choosey Lover by Larie

Mine: Texas Southern Omega…",2022-05-04T12:30:29.000Z,1,1355620032487837699,Officiallariee,,
7,1521829571242385409,GarethLynPrice,135,507,"@ExasperatedRed @debedee21 True that both R S Thomas and Griff Rhys Jones were born in the city but moved from there at a very early age and seem little influenced by it. Danny Abse, Gillian Clarke or Howard Spring would seem prouder of their home city. Gareth Bale, Sam Warburton, John Toshack?",2022-05-04T12:30:18.000Z,0,"979140011860938752,1284352236","ExasperatedRed,debedee21",,
8,1521829497787621377,wxcentre,1484,1753,"Severe thunderstorms are possible from the eastern Texas Panhandle and northwest Texas across southern Oklahoma. 
https://t.co/M5ydo6qsqT",2022-05-04T12:30:01.000Z,0,,,,https://www.wxcentre.ca/thunderstorm-outlook
9,1521829329071747073,HarmonyALZ,245,719,"@spiritnght2 Tom Jones, a la the John Mulaney comedy bit",2022-05-04T12:29:20.000Z,0,970378978665082881,spiritnght2,,
10,1521829225690505217,Choppers_Shane,600,734,"RT @TXBorderRecon: There are 3 million Veterans of the Iraq/Afghanistan wars. If 1% upheld their Oaths and joined us, we could stop the inv…",2022-05-04T12:28:56.000Z,1,1516642752481660935,TXBorderRecon,,
11,1521829075794464768,dantheman895,7,44,"RT @CBSMornings: For the second time this week, there could be dangerous weather in America's Southern Plains.

@WeatherChannel’s @JimCanto…",2022-05-04T12:28:20.000Z,5,"17134268,20998647","CBSMornings,weatherchannel",,
12,1521828361580036096,Koolholio,146,403,"RT @CBSMornings: For the second time this week, there could be dangerous weather in America's Southern Plains.

@WeatherChannel’s @JimCanto…",2022-05-04T12:25:30.000Z,5,"17134268,20998647","CBSMornings,weatherchannel",,
13,1521828333972955136,Jmrosebud,260,2218,"RT @CAVTrooper217: @ReturnofR On stage, at one time?
Geddy Lee has talent that is unbelievable.
Even though he’d be modest &amp; name people he…",2022-05-04T12:25:23.000Z,1,"1516105680884834314,1184114178958725126","CAVTrooper217,ReturnofR",,
14,1521828181745049604,AugieAugenstein,70,173,RT @ReturnofR: John Paul Jones. #LedZeppelin #JohnPaulJones https://t.co/Pwz4ZFmw72 https://t.co/VRIqzDU4xB,2022-05-04T12:24:47.000Z,95,1184114178958725126,ReturnofR,"LedZeppelin,JohnPaulJones","https://returnofrock.com/the-best-bassists-of-all-time-ranked/,https://twitter.com/ReturnofR/status/1521231805721894912/photo/1"
15,1521827987947024385,loklok20083,324,4962,"RT @alexandre19935: Bonne nuit à tous et toutes, demain départ à Londres, voici mon programme Alexander Mc Queen 
Jonathan Saunders Stephen…",2022-05-04T12:24:01.000Z,28,1314840592275439616,alexandre19935,,
16,1521827986084929536,UXHenry,982,4098,@StephanieBumpus @IreneNY3 @emilybell @KevinMKruse You would be surprised. Visit a Texas Southern Baptist Church…,2022-05-04T12:24:00.000Z,0,"956734459730104321,760904714015956992,1489691,3060489838","StephanieBumpus,IreneNY3,emilybell,KevinMKruse",,
17,1521827494214709248,amybethbennett,256,943,"RT @CarterKarels: From left to right: Florida State head coaches Brooke Wyckoff (women’s basketball), Mike Norvell (football), John Proctor…",2022-05-04T12:22:03.000Z,12,727257229,CarterKarels,,
18,1521827144086740994,charlesnuss,381,4934,RT @PeterHotez: Many thanks ⁦@jaketapper⁩ for hosting me ⁦@TheLeadCNN⁩ speaking about our vulnerability to another covid wave this summer i…,2022-05-04T12:20:39.000Z,222,"593289567,14529929,1176994477","PeterHotez,jaketapper,TheLeadCNN",,
19,1521826727852449792,11Sodomie,2166,5002,"RT @alexandre19935: Buenas noches a todos, mañana partiendo para Londres, aquí está mi programa Alexander Mc Queen
 Jonathan Saunders Steph…",2022-05-04T12:19:00.000Z,13,1314840592275439616,alexandre19935,,
20,1521826267506561028,11Sodomie,2166,5002,"RT @alexandre19935: Bonne nuit à tous et toutes, demain départ à Londres, voici mon programme Alexander Mc Queen 
Jonathan Saunders Stephen…",2022-05-04T12:17:10.000Z,28,1314840592275439616,alexandre19935,,
21,1521826125709725704,TSRN_Hargrave,13,21,RT @v1cmolina: Excited to announce my commitment to further my academic and baseball career at Texas Southern University. Thankful for ever…,2022-05-04T12:16:37.000Z,44,4923984379,v1cmolina,,
22,1521824864117612545,Rn4Play,30,99,@SpeakerPelosi have you been to the southern border. No you haven’t that is what We The People are worried about your playground Ukraine we are worried about our border. Take your ass to Texas,2022-05-04T12:11:36.000Z,0,15764644,SpeakerPelosi,,
23,1521824571732725760,CBSNews,8612961,590,"RT @CBSMornings: For the second time this week, there could be dangerous weather in America's Southern Plains.

@WeatherChannel’s @JimCanto…",2022-05-04T12:10:26.000Z,5,"17134268,20998647","CBSMornings,weatherchannel",,
24,1521824433442332674,RashneJehangir,539,1241,"Multigenerational admissions policies and scholarships grow “To have a multigenerational impact, you need to do a multigenerational program,” said the Reverend John Jones, president and CEO of HOPE Toledo. Education is the civil rights issue of our era “ https://t.co/4R5tXko011",2022-05-04T12:09:53.000Z,0,,,,https://www.insidehighered.com/news/2022/05/04/multigenerational-admissions-policies-and-scholarships-grow
25,1521824429449175040,kinyuknohyh,2180,2719,"RT @CBSMornings: For the second time this week, there could be dangerous weather in America's Southern Plains.

@WeatherChannel’s @JimCanto…",2022-05-04T12:09:52.000Z,5,"17134268,20998647","CBSMornings,weatherchannel",,
26,1521823948111065090,ReubenECooperJ1,229,2776,"RT @CBSMornings: For the second time this week, there could be dangerous weather in America's Southern Plains.

@WeatherChannel’s @JimCanto…",2022-05-04T12:07:58.000Z,5,"17134268,20998647","CBSMornings,weatherchannel",,
