,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521824096383774721,Hoops227_CBB,13,0,"RT @Hoops227_CBB: https://t.co/gnmqg3dWJo Condensed Game: UMass-Lowell at Michigan | Nov. 16, 2021 | Big Ten Women's Basketball https://t.c…",2022-05-04T12:08:33.000Z,1,1487878411007586306,Hoops227_CBB,,http://nba.com
1,1521558709595426816,SauceCastillo38,41,212,"@basketball_rory It’s not directly about AAC money. Temple’s peer schools are not small private Catholic ones. It’s a huge urban R1 school with heavy focus on research. Only UMass and GW are R1 in the A-10. The goal is to become an AAU school, surrounded by fellow big research schools in the P5",2022-05-03T18:34:00.000Z,0,1321558682933600256,basketball_rory,,
2,1521461334876950528,Hoops227_CBB,13,0,"https://t.co/gnmqg3dWJo Condensed Game: UMass-Lowell at Michigan | Nov. 16, 2021 | Big Ten Women's Basketball https://t.co/5Nn9TZWV4b https://t.co/KgeGggtKj1",2022-05-03T12:07:04.000Z,1,,,,"http://nba.com,https://www.youtube.com/watch?v=oJrA4kDukoI&utm_source=dlvr.it&utm_medium=twitter,http://pizzahut.com"
3,1521315048295129088,ChowStudent,0,33,"UConn Transfer Portal Destination's (update Akok Akok)
Rahsool Diggins = UMass
Corey Floyd Jr = Providence
Jalen Gaffney = Florida Atlantic
Akok Akok = Georgetown
Matt Garry = TBD",2022-05-03T02:25:46.000Z,0,,,,
4,1521297266635677697,FightMass,934,982,feels so weird that umass basketball played a tournament game in this building,2022-05-03T01:15:07.000Z,0,,,,
5,1521227794621120516,UMassfan99,197,230,"@iamjamieshaw @jorgedgraham @jorgedgraham @guilleediazz_ did you guys comitt to UMass yet?  We want you!!!!  Great basketball, great coach, great academics, great social scene.  Go UMass!!",2022-05-02T20:39:03.000Z,0,"849746433200836609,869989385390968837,869989385390968837,928652189878444032","iamjamieshaw,jorgedgraham,jorgedgraham,guilleediazz_",,
6,1520973783892328449,EnglanderBen,124,523,Jack Harlow wore a customized UMass basketball jersey. Absolute fire @jackharlow,2022-05-02T03:49:43.000Z,0,61642247,jackharlow,,
7,1520962223492898816,AgnesPepperdine,6,6,RT @NattyTighe: daddy harlow reppin umass basketball… i’m literally about to nut my pants,2022-05-02T03:03:46.000Z,1,1453773405291941890,NattyTighe,,
8,1520962052914774017,NattyTighe,6,12,daddy harlow reppin umass basketball… i’m literally about to nut my pants,2022-05-02T03:03:06.000Z,1,,,,
9,1520919901845733377,mikebrenn,557,1520,"RT @CircuitScouting: Elliot Cadeau (2024)
Height: 6’2
HS: @BCCrusaderHoops 
Grassroots: New Heights Lightning 
Position: Traditional Guard…",2022-05-02T00:15:36.000Z,2,"2620166894,1190271003831787522","CircuitScouting,BCCrusaderHoops",,
10,1520918343301140480,bostonathletema,705,314,On This Day - Happy Birthday to @CoachKokoski! #LynneAnnKokoski #umasswbb #bostonathlete #onthisdaysports #amherst #flagship #boston #umass #basketball #happybirthday #bostonathletemagazine https://t.co/PFREvqn4Ky,2022-05-02T00:09:24.000Z,0,532468872,CoachKokoski,"LynneAnnKokoski,umasswbb,bostonathlete,onthisdaysports,amherst,flagship,boston,umass,basketball,happybirthday,bostonathletemagazine",https://twitter.com/UMassWBB/status/1520916966801698816
11,1520886055553146880,BuckscoToday,238,575,"Archbishop Wood Basketball Star Lands at UMass, Seeking ‘A Bit More Playing Time’

https://t.co/Bhu4CSQ6d2",2022-05-01T22:01:06.000Z,0,,,,https://bucksco.today/2022/04/rahsool-diggins-umass-basketball/
12,1520878821314121731,GhostMcHistory,1130,1049,Still won't play UMASS Amherst in basketball https://t.co/1aMDhovpOp,2022-05-01T21:32:22.000Z,0,,,,https://twitter.com/UmassReindeer/status/1520878344757288961
13,1520864684852670464,ElPolloDiabloX,378,788,"RT @Jimfrombaseball: Played basketball at UMass with Rick Pitino. Tried out for the varsity the next year. 
“I pulled up for a jumper on th…",2022-05-01T20:36:11.000Z,1,731624499112771585,Jimfrombaseball,,
14,1520864583006646272,Jimfrombaseball,2763,2879,"Played basketball at UMass with Rick Pitino. Tried out for the varsity the next year. 
“I pulled up for a jumper on the break from the top of the key, and Julius Erving blocked it, then swoop-jammed on the other end, I knew then it was time to work on my slider.”
Mike Flanagan https://t.co/JWjvyxskjc",2022-05-01T20:35:47.000Z,1,,,,"https://twitter.com/Jimfrombaseball/status/1520864583006646272/photo/1,https://twitter.com/Jimfrombaseball/status/1520864583006646272/photo/1"
15,1520811453166596098,brodskyme,1519,2029,@blauds I heard it was Mark Schmidt.   Done deal.   Or was that UMass basketball or Northeastern mens soccer?  Keep putting his name out there and you may be right.,2022-05-01T17:04:40.000Z,0,38813536,blauds,,
16,1520809338931187712,NY_Lightning,4313,938,"RT @CircuitScouting: Elliot Cadeau (2024)
Height: 6’2
HS: @BCCrusaderHoops 
Grassroots: New Heights Lightning 
Position: Traditional Guard…",2022-05-01T16:56:16.000Z,2,"2620166894,1190271003831787522","CircuitScouting,BCCrusaderHoops",,
17,1520806821790982144,CircuitScouting,5114,1836,"Elliot Cadeau (2024)
Height: 6’2
HS: @BCCrusaderHoops 
Grassroots: New Heights Lightning 
Position: Traditional Guard 
Calling Card: Basketball IQ 
Current Offers: Maryland, Syracuse, Tennessee, Howard, Oklahoma State, Texas Tech, St. John’s, Providence, UMASS, &amp; More https://t.co/Ck6BdJzTtj https://t.co/PIaoak3SKG",2022-05-01T16:46:16.000Z,2,1190271003831787522,BCCrusaderHoops,,"https://twitter.com/CircuitScouting/status/1520806821790982144/photo/1,https://twitter.com/RealScoutBBall/status/1520743054143066112"
18,1520246294136037376,AnnMcCarron4,221,557,@UMassAthletics I Donated to UMass women’s basketball team in honor of @UmassReindeer,2022-04-30T03:38:55.000Z,0,"21420952,1219539885654188033","UMassAthletics,UmassReindeer",,
19,1520192257265045504,Efried97,1604,1109,@ZACHISGOD @CurryHicksSage @GolfersJournal Myrtle beach UMass golf  and basketball trip,2022-04-30T00:04:12.000Z,0,"207267302,3816448323,733014869385994241","ZACHISGOD,CurryHicksSage,GolfersJournal",,
20,1520171915943448581,CurryHicksSage,3925,1550,Incredibly UMass Mason basketball energy https://t.co/SQWO8tqUmZ,2022-04-29T22:43:22.000Z,0,,,,https://twitter.com/umassbaseball/status/1520166470990262272
21,1520072725204721665,Blindspots,339,491,@themanmulcahey_ They owe me courtside seats for UMass basketball and a gift card from like 2 years ago lol,2022-04-29T16:09:13.000Z,0,1078076220,themanmulcahey_,,
22,1520000950735601664,LHAIbasketball,1866,878,"RT @HTC247: BREAKING: 2022 PF Ezra Ausar commits to East Carolina

Ausar also had reported offers from Texas A&amp;M and Wichita State, along w…",2022-04-29T11:24:01.000Z,9,631441184,HTC247,,
23,1519860980406173697,cjwl,1058,326,@MSzafranski413 @wmasspi @MassGovernor @RepRichardNeal @CharlieBakerMA Stuck on the Mass Pike just trying to visit UMass basketball pushed him over the edge,2022-04-29T02:07:50.000Z,0,"550227949,129030683,18023868,442824717,54990588","MSzafranski413,wmasspi,MassGovernor,RepRichardNeal,CharlieBakerMA",,
24,1519823655290691585,pad4truth,81,76,"Now on the show is Nick Anastos, owner of Anastos Media and voice of UMASS-Lowell basketball and lacrosse joins us to give his prediction on the Patriots draft and takes a looks at the NBA Playoffs.
Here is your link: to watch/listen: https://t.co/Yoxb7dt5tv",2022-04-28T23:39:31.000Z,0,,,,https://lnkd.in/dGvbZK5s
25,1519800913657053184,ChowStudent,0,33,"UConn Transfer Portal Destination's
Rahsool Diggins = UMass
Corey Floyd Jr = Providence
Jalen Gaffney = Florida Atlantic
Akok Akok = TBD
Matt Garry = TBD",2022-04-28T22:09:09.000Z,0,,,,
26,1519785683296137219,BFriedACC,3863,909,"RT @HTC247: BREAKING: 2022 PF Ezra Ausar commits to East Carolina

Ausar also had reported offers from Texas A&amp;M and Wichita State, along w…",2022-04-28T21:08:37.000Z,9,631441184,HTC247,,
27,1519760188126994439,CoachWrightMike,3187,2578,"RT @HTC247: BREAKING: 2022 PF Ezra Ausar commits to East Carolina

Ausar also had reported offers from Texas A&amp;M and Wichita State, along w…",2022-04-28T19:27:19.000Z,9,631441184,HTC247,,
28,1519747923994624004,AJJones_Combine,1725,2584,"RT @HTC247: BREAKING: 2022 PF Ezra Ausar commits to East Carolina

Ausar also had reported offers from Texas A&amp;M and Wichita State, along w…",2022-04-28T18:38:35.000Z,9,631441184,HTC247,,
29,1519742335537586178,RayWolfred,80,211,"RT @HTC247: BREAKING: 2022 PF Ezra Ausar commits to East Carolina

Ausar also had reported offers from Texas A&amp;M and Wichita State, along w…",2022-04-28T18:16:22.000Z,9,631441184,HTC247,,
30,1519735977962573824,TarboroBill,191,382,"RT @HTC247: BREAKING: 2022 PF Ezra Ausar commits to East Carolina

Ausar also had reported offers from Texas A&amp;M and Wichita State, along w…",2022-04-28T17:51:07.000Z,9,631441184,HTC247,,
