TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG
Kansas,B12,30,28,116.1,87.7,0.9616
Baylor,B12,30,26,114.5,88.4,0.9513
Gonzaga,WCC,33,31,121.3,94.3,0.9472
Dayton,A10,31,29,119.5,93.4,0.9445
Michigan St.,B10,31,22,114.8,91.3,0.9326
Duke,ACC,31,25,115.3,91.9,0.931
Creighton,BE,30,24,120.6,96.4,0.9289
Ohio St.,B10,31,21,114.6,92.6,0.92
Louisville,ACC,31,24,115.1,93.9,0.912
San Diego St.,MWC,31,30,113.8,92.8,0.9119
Villanova,BE,31,24,114,93.7,0.9045
Houston,Amer,31,23,112.1,92.2,0.9041
Arizona,P12,32,21,110.9,91.2,0.904
Michigan,B10,31,19,113,93.1,0.9028
Penn St.,B10,31,21,111.4,91.9,0.9019
West Virginia,B12,31,21,107.4,88.6,0.901
BYU,WCC,31,24,115.9,96,0.8973
Oregon,P12,31,24,117.5,97.4,0.8968
Wisconsin,B10,31,21,110.9,92,0.8952
Florida St.,ACC,31,26,111.2,92.5,0.8921
Seton Hall,BE,30,21,112.2,93.5,0.8913
Texas Tech,B12,31,18,109.9,91.7,0.8891
Purdue,B10,31,16,109.6,91.6,0.887
Butler,BE,31,22,112.7,94.6,0.8817
Providence,BE,31,19,109.3,91.8,0.8812
Maryland,B10,31,24,112.6,94.7,0.8797
Minnesota,B10,31,15,111.9,94.4,0.8764
Kentucky,SEC,31,25,112.8,95.2,0.8754
Illinois,B10,30,21,110.9,93.9,0.8719
Rutgers,B10,30,20,107.5,91,0.8711
Iowa,B10,31,20,117.2,99.7,0.8653
Florida,SEC,31,19,112.6,95.9,0.864
Marquette,BE,30,18,113.9,97.4,0.8581
Virginia,ACC,30,23,100,85.6,0.8565
Wichita St.,Amer,31,23,105.2,90.2,0.855
Indiana,B10,32,20,108.1,93.3,0.8444
Oklahoma,B12,31,19,108.2,93.4,0.8442
Utah St.,MWC,32,26,109.4,94.5,0.8435
Auburn,SEC,31,25,111.1,96.1,0.8415
Xavier,BE,32,19,106.4,92.1,0.8396
Saint Mary's,WCC,33,25,114,98.8,0.8385
Colorado,P12,32,21,108.9,94.4,0.8376
LSU,SEC,31,21,118.2,102.5,0.8373
Syracuse,ACC,32,18,113.5,98.6,0.8345
Stanford,P12,32,20,104.2,90.7,0.8315
North Carolina St.,ACC,32,20,110.6,96.5,0.8273
Cincinnati,Amer,30,20,108.6,94.8,0.826
Richmond,A10,31,24,108.5,94.9,0.8249
Mississippi St.,SEC,31,20,113.6,99.8,0.8155
Saint Louis,A10,30,23,106.6,93.8,0.8126
Georgia Tech,ACC,30,17,103.6,91.3,0.8101
Arkansas,SEC,32,20,108.9,96.1,0.8084
Oklahoma St.,B12,32,18,107.2,94.7,0.8068
Washington,P12,32,15,105.5,93.3,0.8047
Notre Dame,ACC,32,20,111.2,98.5,0.8006
Connecticut,Amer,31,19,108.6,96.3,0.8001
St. John's,BE,32,17,106.8,94.7,0.7992
USC,P12,31,22,103.6,91.9,0.799
Arizona St.,P12,31,20,106.1,94.4,0.7942
Alabama,SEC,31,16,111.4,99.2,0.7915
South Carolina,SEC,31,18,105.5,94,0.7915
Tennessee,SEC,31,17,107.3,95.5,0.7914
Memphis,Amer,31,21,100.2,89.2,0.7909
Northern Iowa,MVC,29,25,111.8,99.8,0.7871
San Francisco,WCC,33,22,108.1,97,0.778
VCU,A10,31,18,104.8,94.1,0.7763
Texas,B12,31,19,103.3,92.7,0.7761
Davidson,A10,30,16,113.1,101.7,0.7726
North Texas,CUSA,29,20,111.6,100.3,0.7717
UCLA,P12,30,19,109.6,98.6,0.7717
Clemson,ACC,31,16,103.8,93.5,0.7706
Louisiana Tech,CUSA,28,22,108.5,97.7,0.7699
Rhode Island,A10,30,21,104.7,94.4,0.7664
Yale,Ivy,28,23,107.8,97.8,0.7551
Tulsa,Amer,31,21,102.2,92.7,0.7533
East Tennessee St.,SC,31,30,107.1,97.4,0.7505
Georgetown,BE,32,15,110.2,100.1,0.7505
North Carolina,ACC,33,14,108.2,98.3,0.7498
Liberty,ASun,32,30,105.6,96,0.7495
Nevada,MWC,31,19,110.1,100.2,0.7476
Texas St.,SB,30,21,106.7,97.3,0.7425
SMU,Amer,30,19,112.9,103.3,0.7372
Akron,MAC,29,24,107.9,98.8,0.7343
Oregon St.,P12,31,18,110.5,101.3,0.7305
TCU,B12,31,16,105.2,96.6,0.727
New Mexico St.,WAC,29,25,107.7,99,0.7242
Furman,SC,29,25,106.6,98,0.724
Georgia,SEC,31,16,108.7,100.1,0.7211
Vermont,AE,32,26,105.4,97.1,0.7207
Iowa St.,B12,32,12,109.3,100.8,0.7175
Duquesne,A10,30,21,107,98.9,0.7118
Northern Colorado,BSky,29,22,109.3,101.1,0.7089
UNC Greensboro,SC,30,23,103.2,95.6,0.7074
Loyola Chicago,MVC,31,21,103.8,96.3,0.7031
Kansas St.,B12,32,11,102.1,94.8,0.7023
DePaul,BE,31,16,102.6,95.3,0.7008
UNLV,MWC,32,17,107.5,100.1,0.695
Belmont,OVC,32,26,106.9,99.5,0.6938
Boise St.,MWC,31,20,105.9,98.6,0.6935
Missouri,SEC,31,15,103.5,96.4,0.6922
Wake Forest,ACC,31,13,108.8,101.6,0.6877
Miami FL,ACC,31,15,107.2,100.2,0.6853
Mississippi,SEC,32,15,103,96.5,0.6783
Stephen F. Austin,Slnd,28,28,103.4,96.9,0.6781
Hofstra,CAA,33,26,108.9,102.5,0.6663
UCF,Amer,30,16,104.2,98.2,0.6661
Ball St.,MAC,30,18,99.5,93.7,0.665
Bradley,MVC,33,23,106.6,100.5,0.6631
South Florida,Amer,31,14,100.6,95,0.6595
Indiana St.,MVC,29,18,105.8,100,0.6586
Utah,P12,31,16,106.1,100.2,0.6573
Harvard,Ivy,28,21,104.5,98.8,0.6555
Colorado St.,MWC,31,20,108.7,103,0.649
UC Irvine,BW,30,21,104.9,99.4,0.6485
Pacific,WCC,31,23,103.5,98.2,0.6474
Northwestern,B10,31,8,105.4,100,0.6469
