,Year,Stars,Position,Name,Class,Previous School,New School,RK,TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
0,2019,5,PG,Quade Green,RS JR,Kentucky,Washington,28,Kentucky,SEC,31,25,112.8,95.2,0.8754,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,67.6,5.1
1,2018,4.7,PF,Sacha Killeya-Jones,,Kentucky,NC State,28,Kentucky,SEC,31,25,112.8,95.2,0.8754,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,67.6,5.1
2,2019,4,SG,Jemarl Baker,RS JR,Kentucky,Arizona,28,Kentucky,SEC,31,25,112.8,95.2,0.8754,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,67.6,5.1
3,2019,2,PG,Brad Calipari,RS SR,Kentucky,Detroit Mercy,28,Kentucky,SEC,31,25,112.8,95.2,0.8754,50.7,45.3,18.1,17.3,30.9,28.5,40.7,32.1,50.4,44.9,34.3,30.7,67.6,5.1
4,2018,5,SF,Brian 'Tugs' Bowen II,SR,Louisville,South Carolina,9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
5,2018,3.7,PF,Lance Thomas,RS JR,Louisville,Memphis,9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
6,2019,2,PG,Jacob Redding,SR,Louisville,North Greenville,9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
7,2019,2,SG,Jo Griffin,SR,Louisville,Kentucky Wesleyan,9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
8,2019,2,SG,Wyatt Battaile,JR,Louisville,Kentucky Wesleyan,9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
9,2019,2,PG,Matt Hanna,RS JR,Louisville,Colby College,9,Louisville,ACC,31,24,115.1,93.9,0.912,52.5,45.1,18,17.4,32,25,32.2,29,50.1,45.1,37.6,30.1,66.9,4.3
