Year,Stars,Position,Name,Class,Previous School,New School,,,
2021,4,SG,Dwayne Cohill,RS SO,Dayton,Youngstown State,,,
2021,2,SG,Owen Long,SO,Maryville,Youngstown State,,,
2021,2,SG,Chris Shelton,SO,Hampton,Youngstown State,,,
2020,2,SG,Greyson Kelley,RS SR,Shaw,Youngstown State,,,
2019,3,SG,Tyler Foster,JR,East Carolina,Youngstown State,,,
2017,2,SG,Jaylen Benton,RS N/A,Southeast Missouri State,Youngstown State,,,
2017,2,PG,"Devin Morgan, Jr.",RS N/A,Delaware State,Youngstown State,,,
2021,2,PG,Eden Davis,FR,Texas A&M–Corpus Christi,Young Harris,,,
2021,2,PG,Christian Schach,JR,North Florida,Young Harris,,,
2021,2,SG,Connor Thompson,FR,Jacksonville,Young Harris,,,
2020,2,PF,Chandler Davis,RS SR,Texas State,Young Harris,,,
2019,2,SG,Matt Chism,SR,Georgia State,Young Harris,,,
2018,2,PG,Bryan Gee,RS N/A,Longwood,Young Harris,,,
2018,2,SG,Justin Jones,N/A,South Carolina State,Young Harris,,,
2019,2,SG,Alex Comanita,RS SO,Northwestern State,York University,,,
2019,2,PF,David Giulani,RS JR,Merrimack,York College of Pennsylvania,,,
2019,2,PG,Travis Stoll,RS SO,Merrimack,York College of Pennsylvania,,,
2021,2,PG,Erik Talton,RS JR,Western Illinois,York College,,,
2018,2,SF,Lance Ewell,RS N/A,Tarleton State,York College,,,
2017,2,PF,Terrance Hubby,RS N/A,Lamar,York College,,,
2021,2,SG,Ethan Lasko,RS JR,Manhattan,Yeshiva University,,,
2021,2,C,Conner Turner,FR,Idaho State,Yakima Valley College,,,
2020,2,SF,Kevin Norman,SR,Jacksonville,Xavier University of Louisiana,,,
2018,2,PG,Ed Carter III,RS SR,Detroit Mercy,Xavier University of Louisiana,,,
2021,4,SF,Jerome Hunter,RS SO,Indiana,Xavier,,,
2021,3,C,Jack Nunge,RS SO,Iowa,Xavier,,,
2020,2,PF,Bryan Griffin,RS SR,Mercy,Xavier,,,
2020,2,SG,Nate Johnson,RS SR,Gardner–Webb,Xavier,,,
2020,2,PG,Adam Kunkel,JR,Belmont,Xavier,,,
2020,2,SF,Ben Stanley,RS JR,Hampton,Xavier,,,
2019,2,PF,Jason Carter,RS SR,Ohio,Xavier,,,
2019,2,PG,Bryce Moore,RS N/A,Western Michigan,Xavier,,,
