,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521853690021253120,BMWCOUG,54,97,"RT @SportsPac12: Washington State basketball has landed a big commitment from Adrame Diongue, a 4-star, 7-foot, 185-pound center from Chand…",2022-05-04T14:06:09.000Z,10,948655410818424833,SportsPac12,,
1,1521853603392143360,cafeapatame,6,1,Kansas State Wildcats football basketball recruiting Skylar Thompson Russ Yeast Marco Borne Chris Klieman Van Malone https://t.co/XKK7gKanF2,2022-05-04T14:05:48.000Z,0,,,,https://silayin.com/kansas-state-wildcats-football-basketball-recruiting-skylar-thompson-russ-yeast-marco-borne-chris-klieman-van-malone/
2,1521853293458341889,GPCRyanG,1514,597,"""My social media is going crazy. The K-State fans are amazing. The coaches are amazing. Everybody is congratulating me, it's just an amazing feeling to have.""

I spoke with K-State commit Dorian Finister (@doo4three) about his decision.
[VIP]

https://t.co/8jfY10hXoJ",2022-05-04T14:04:34.000Z,0,1089723983786921984,doo4three,,https://247sports.com/college/kansas-state/LongFormArticle/Kansas-State-basketball-recruiting-Dorian-Finister-commitment-questions-interview-187141171/
3,1521853257932427266,BMWCOUG,54,97,"RT @CougfanCOM: .@15Diongue commits to WSU men’s basketball over Kansas and others per ESPN, here's what it means for @WSUCougarMBB #GoCoug…",2022-05-04T14:04:26.000Z,14,"21938759,1101858382212927488,199536925","CougfanCOM,15Diongue,WSUCougarMBB",,
4,1521852933285031936,recordscpa,7,133,"@tayloreldridge It seems like the Golden Goose has been killed. In the end a few schools like KU will be minor league basketball schools/teams. Schools like WSU will play against the Southwestern, Pitt State and Friends type teams in Kansas. We'll be hoping to get to the final four of Kansas.",2022-05-04T14:03:08.000Z,0,366741758,tayloreldridge,,
5,1521832277969457152,kansasdotcom,61480,3246,"A closer look at @WichitaState and NILs, from @tayloreldridge:
How can Wichita State catch up in college basketball’s unregulated NIL money game?
https://t.co/bOIYlgKKMU #Local #Shockers",2022-05-04T12:41:04.000Z,0,"29233206,366741758","WichitaState,tayloreldridge","Local,Shockers",https://trib.al/19PDjOP
6,1521823202992791552,GoPowercat,14723,270,"Q&amp;A: Dorian Finister talks Kansas State commitment. #KState

https://t.co/xQuoPXUx0V",2022-05-04T12:05:00.000Z,0,,,KState,https://247sports.com/college/kansas-state/LongFormArticle/Kansas-State-basketball-recruiting-Dorian-Finister-commitment-questions-interview-187141171/
7,1521806910839791617,WichitaEagleSpt,3768,23,How can Wichita State catch up in college basketball’s unregulated NIL money game? https://t.co/aAomTtNXtx,2022-05-04T11:00:16.000Z,0,,,,https://www.kansas.com/sports/college/wichita-state/article260887822.html
8,1521725943567589376,GaryBedore,12191,2846,RT @WichitaEagleSpt: Ricky Council IV cuts recruiting list to six: Wichita State basketball not in the mix https://t.co/UzvrYCyJlw,2022-05-04T05:38:31.000Z,1,3221800299,WichitaEagleSpt,,https://www.kansas.com/sports/college/wichita-state/article261029082.html
9,1521706308566589443,futurecoug,466,135,"RT @CougfanCOM: .@15Diongue commits to WSU men’s basketball over Kansas and others per ESPN, here's what it means for @WSUCougarMBB #GoCoug…",2022-05-04T04:20:30.000Z,14,"21938759,1101858382212927488,199536925","CougfanCOM,15Diongue,WSUCougarMBB",,
10,1521704403488567296,ETschu_wsu,28,44,"RT @CougfanCOM: .@15Diongue commits to WSU men’s basketball over Kansas and others per ESPN, here's what it means for @WSUCougarMBB #GoCoug…",2022-05-04T04:12:56.000Z,14,"21938759,1101858382212927488,199536925","CougfanCOM,15Diongue,WSUCougarMBB",,
11,1521694952886988800,futurecoug,466,135,"RT @SportsPac12: Washington State basketball has landed a big commitment from Adrame Diongue, a 4-star, 7-foot, 185-pound center from Chand…",2022-05-04T03:35:23.000Z,10,948655410818424833,SportsPac12,,
12,1521689856258281473,geraldr416,720,1389,"RT @CougfanCOM: .@15Diongue commits to WSU men’s basketball over Kansas and others per ESPN, here's what it means for @WSUCougarMBB #GoCoug…",2022-05-04T03:15:08.000Z,14,"21938759,1101858382212927488,199536925","CougfanCOM,15Diongue,WSUCougarMBB",,
13,1521653334410682368,hutchsports,6439,474,Learn more about a prospect Kansas men's basketball recently offered. #kubball https://t.co/o0Znj8Nm0v,2022-05-04T00:50:00.000Z,0,,,kubball,https://www.hutchnews.com/story/sports/high-school/2022/04/22/basketball-recruiting-xavier-booker-2003-cathedral-michigan-state-indiana-purdue-butler/7318681001/
14,1521653334398144513,CJOnline,30934,741,Learn more about a prospect Kansas men's basketball recently offered. #kubball https://t.co/ZDYiToInEA,2022-05-04T00:50:00.000Z,0,,,kubball,https://www.cjonline.com/story/sports/high-school/2022/04/22/basketball-recruiting-xavier-booker-2003-cathedral-michigan-state-indiana-purdue-butler/7318681001/
