,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521852952121589761,jaayy2live,500,37,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T14:03:13.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
1,1521851180938416130,AHatfieldii,510,4995,"RT @KentuckyWBB: .@eniyar1 chose to #CommitToIt! 🔵👊

Welcome to #BBN! 

📄 https://t.co/b45pUVYOWC

#BlueMagic https://t.co/gCpsp90eIF",2022-05-04T13:56:10.000Z,43,"56402878,1195858450900799488","KentuckyWBB,eniyar1","CommitToIt,BBN,BlueMagic","https://bit.ly/3MJpcGF,https://twitter.com/KentuckyWBB/status/1521250449768296448/photo/1"
2,1521818094984998915,Bayouself5,150,547,RT @lsutigerswire: The Tigers added one of the top players in the 2022 class last week in Reed.  https://t.co/7h4Js3RAfW,2022-05-04T11:44:42.000Z,1,1201891001737990144,lsutigerswire,,https://lsutigerswire.usatoday.com/lists/lsu-basketball-recruiting-jalen-reed-2022-commitment-profile/?taid=6272328189528800012b1b45&utm_campaign=trueanthem&utm_medium=trueanthem&utm_source=twitter
3,1521761551224655872,lsutigerswire,310,28,The Tigers added one of the top players in the 2022 class last week in Reed.  https://t.co/7h4Js3RAfW,2022-05-04T08:00:01.000Z,1,,,,https://lsutigerswire.usatoday.com/lists/lsu-basketball-recruiting-jalen-reed-2022-commitment-profile/?taid=6272328189528800012b1b45&utm_campaign=trueanthem&utm_medium=trueanthem&utm_source=twitter
4,1521716659140005888,btcbettingtips,750,0,"College basketball Power Rankings: Baylor stays, Villanova goes and LSU breaks in

Trusted Crypto Casino &amp; SportsBook:
→ https://t.co/DcwhtWAvzV ←
https://t.co/ORGzCYebYQ",2022-05-04T05:01:38.000Z,0,,,,"http://sportstake.win,https://www.espn.com/mens-college-basketball/story/_/id/32903658/college-basketball-power-rankings-baylor-breaks-no-1-curse-lsu-breaks-in"
5,1521714996362764289,insanelysjc,118,97,"RT @ESPN_WomenHoop: LSU moves in and Maryland moves down as the transfer portal continues to remake rosters. But South Carolina, UConn and…",2022-05-04T04:55:01.000Z,27,87736536,ESPN_WomenHoop,,
6,1521703030328016896,cwalker__13,228,245,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T04:07:28.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
7,1521701374244884480,c1osen,1599,486,"RT @ESPN_WomenHoop: LSU moves in and Maryland moves down as the transfer portal continues to remake rosters. But South Carolina, UConn and…",2022-05-04T04:00:54.000Z,27,87736536,ESPN_WomenHoop,,
8,1521685396580675584,TheRVASportsNet,12025,4187,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T02:57:24.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
9,1521676780666503169,kara_bacile,731,1300,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T02:23:10.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
10,1521674358044774403,PhilipGravel,43,122,"@BiggerTen And yet the much more serious allegations against the Kansas, Arizona and LSU men's basketball programs are still awaiting adjudication.",2022-05-04T02:13:32.000Z,0,333186542,BiggerTen,,
11,1521672056152145920,kYdYeezY,408,298,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T02:04:24.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
12,1521669522012479488,ScottyMc71,437,544,"@CSayf23 And if they open an investigation. The school will just tell them to go jump in a river like KU, Arizona, LSU, etc did in basketball and nothing will happen. The @InsidetheNCAA is a lame duck organization.",2022-05-04T01:54:19.000Z,0,"58867835,16906785","CSayf23,InsidetheNCAA",,
13,1521665452384129025,chew_man_fu,1985,813,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T01:38:09.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
14,1521665372864274432,efton15,2371,352,"RT @ZagMBB: Welcome to the family @efton15 
📰Press Release: https://t.co/tM3YZqBD2W https://t.co/CX3RNUQQT2",2022-05-04T01:37:50.000Z,41,"602989093,3047170613","ZagMBB,efton15",,"https://bit.ly/3OO84l4,https://twitter.com/ZagMBB/status/1521172614533709824/photo/1"
15,1521658509250682884,SquiresRichmond,2441,4067,"RT @ESPN_WomenHoop: LSU moves in and Maryland moves down as the transfer portal continues to remake rosters. But South Carolina, UConn and…",2022-05-04T01:10:34.000Z,27,87736536,ESPN_WomenHoop,,
