,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521847711938473984,newscenterPHL1,723,1846,RT @INQUIRERSports: La Salle caught University of the Philippines still in the afterglow of its “upset of the season” to pull off a 83-80 t…,2022-05-04T13:42:23.000Z,4,89137989,INQUIRERSports,,
1,1521828616782454786,mounir_1985,318,163,"🏀BasketBall || Championnat  
🏆 6 ème Journée Play_Out 
❎ E S Goulette 🆚 @clubafricain 
📆 Mercredi 04/05/2022
⏰ Heure : 17h30 Heure #Tunisie 
🚩 Salle Couverte La Goulette 
#ClubAfricain #BasketBall #ESGCA #CABasket #ForzaCA 🔴 ⚪ 🔴 ⚪ https://t.co/o6cTbBx75N",2022-05-04T12:26:31.000Z,0,40678940,clubafricain,"Tunisie,ClubAfricain,BasketBall,ESGCA,CABasket,ForzaCA",https://twitter.com/mounir_1985/status/1521828616782454786/photo/1
2,1521809482623635456,spinph,126582,1046,PBA or overseas leagues? Baltazar holds off all thoughts as he tries to win a championship for La Salle in his farewell season #UAAPFinalFour By @dolphtrythis  https://t.co/nrffnZr1kS,2022-05-04T11:10:29.000Z,0,3246625710,dolphtrythis,UAAPFinalFour,https://www.spin.ph/basketball/uaap-men/justine-baltazar-focuses-on-present-as-future-looms-a2437-20220504
3,1521802299135258624,dolphtrythis,2640,388,RT @spinph: Fingers crossed 🤞 #UAAPFinalFour By @dolphtrythis  https://t.co/hD8z1TgPfI,2022-05-04T10:41:56.000Z,2,"573315820,3246625710","spinph,dolphtrythis",UAAPFinalFour,https://www.spin.ph/basketball/uaap-men/up-maroons-optimistic-cj-cansino-can-play-in-sudden-death-vs-la-salle-on-friday-a2437-20220504
4,1521802290348265472,rdlbleo,1118,650,RT @spinph: Fingers crossed 🤞 #UAAPFinalFour By @dolphtrythis  https://t.co/hD8z1TgPfI,2022-05-04T10:41:54.000Z,2,"573315820,3246625710","spinph,dolphtrythis",UAAPFinalFour,https://www.spin.ph/basketball/uaap-men/up-maroons-optimistic-cj-cansino-can-play-in-sudden-death-vs-la-salle-on-friday-a2437-20220504
5,1521801486258544640,spinph,126582,1046,Fingers crossed 🤞 #UAAPFinalFour By @dolphtrythis  https://t.co/hD8z1TgPfI,2022-05-04T10:38:42.000Z,2,3246625710,dolphtrythis,UAAPFinalFour,https://www.spin.ph/basketball/uaap-men/up-maroons-optimistic-cj-cansino-can-play-in-sudden-death-vs-la-salle-on-friday-a2437-20220504
6,1521795821024333825,Memamore12345,27,452,"RT @manilabulletin: De La Salle survives University of the Philippines, 83-80, in the semifinals of the UAAP Season 84 men's basketball tou…",2022-05-04T10:16:11.000Z,3,15375209,manilabulletin,,
7,1521787336782397440,InTheMoodForPio,59,76,PLEASE REMOVE DE LA SALLE-COLLEGE OF SAINT BENILDE FROM ANY LEAGUE THAT ASSOCIATES THE SPORT OF BASKETBALL,2022-05-04T09:42:29.000Z,0,,,,
8,1521780531855511552,flareon3kdeg,579,112,@ying991220 Yung player po yan ng La Salle Men Basketball sa UAAP po? Semifinals ngayon against UP!,2022-05-04T09:15:26.000Z,0,3952577713,ying991220,,
9,1521779095897767943,balneg_gerelyn,231,110,RT @INQUIRERSports: La Salle caught University of the Philippines still in the afterglow of its “upset of the season” to pull off a 83-80 t…,2022-05-04T09:09:44.000Z,4,89137989,INQUIRERSports,,
