,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521869273433616384,RockingWithJAYs,3050,2749,RT @larryislegend: Memphis was out there playing prison ball. That wasn’t playoff basketball but they don’t know no better. They have no ve…,2022-05-04T15:08:04.000Z,4,37256303,larryislegend,,
1,1521868907597938690,OGxBillyHoyle,803,3244,"RT @On3sports: On3's @JamieShaw5 has placed a prediction for Louisville to land Memphis transfer Emoni Bates👀

Intel (On3+) https://t.co/Tf…",2022-05-04T15:06:37.000Z,11,"1294350150052335616,308623857","On3sports,JamieShaw5",,
2,1521868783190786049,TimThomasTLP,4647,1349,RT @TechLunchPailD: SCOUTING REPORT: Check out @Locklin_Will's scouting report on Virginia Tech's new transfer addition John Camden includi…,2022-05-04T15:06:07.000Z,4,"2855807825,4693028808","TechLunchPailD,locklin_will",,
3,1521868759727812608,sethpo,4164,1305,"RT @JoeMullinax: Witnessing the wrath of Ja Morant isn’t just watching basketball. It is seeing a conquering gladiator take the mind, body,…",2022-05-04T15:06:01.000Z,5,1390990310,JoeMullinax,,
4,1521868049279643648,BadaBing1999,582,771,RT @MikeMiracles: This Memphis-Golden State series has produced two unbelievably high quality basketball games already. So much talent on t…,2022-05-04T15:03:12.000Z,8,259493529,MikeMiracles,,
5,1521867551113940996,NewProduct11,565,347,@_lavanco @vincentkatt @NBA That play was rough and def bad for basketball he’s the only one I dislike on Memphis,2022-05-04T15:01:13.000Z,0,"1064536285,339415874,19923144","_lavanco,vincentkatt,NBA",,
6,1521866830708621313,Getoffofmy_Nico,426,752,RT @larryislegend: Memphis was out there playing prison ball. That wasn’t playoff basketball but they don’t know no better. They have no ve…,2022-05-04T14:58:22.000Z,4,37256303,larryislegend,,
7,1521866811435794432,supad3z,596,561,RT @larryislegend: Memphis was out there playing prison ball. That wasn’t playoff basketball but they don’t know no better. They have no ve…,2022-05-04T14:58:17.000Z,4,37256303,larryislegend,,
8,1521866657668505602,larryislegend,14459,990,Memphis was out there playing prison ball. That wasn’t playoff basketball but they don’t know no better. They have no vets.,2022-05-04T14:57:40.000Z,4,,,,
9,1521865410408329216,_Classical23_,864,1337,"@JoeBudden your basketball takes after watching Ja get busy. Did you not watch the first game?? I agree on gsw winning, but to say memphis has no chance is insane. Them young boys get crazy",2022-05-04T14:52:43.000Z,0,18676369,JoeBudden,,
10,1521864570452819968,SBNationNBA,89424,1315,"RT @JoeMullinax: Witnessing the wrath of Ja Morant isn’t just watching basketball. It is seeing a conquering gladiator take the mind, body,…",2022-05-04T14:49:23.000Z,5,1390990310,JoeMullinax,,
11,1521864537821044740,SBN_Ricky,19301,1413,"RT @JoeMullinax: Witnessing the wrath of Ja Morant isn’t just watching basketball. It is seeing a conquering gladiator take the mind, body,…",2022-05-04T14:49:15.000Z,5,1390990310,JoeMullinax,,
12,1521863842317406212,jeremycrabtree,31329,13123,"RT @On3sports: On3's @JamieShaw5 has placed a prediction for Louisville to land Memphis transfer Emoni Bates👀

Intel (On3+) https://t.co/Tf…",2022-05-04T14:46:29.000Z,11,"1294350150052335616,308623857","On3sports,JamieShaw5",,
13,1521862608680275970,NextUpHayden,12236,7582,"One of the best available Transfers, Emoni Bates, is predicted to end up at Louisville (Per Source). 

6’9 | 190

He averaged 9.7 PPG, 3.3 RPG, &amp; 1.3 APG shooting 38.6% from the field at Memphis this year! He would be a HUGE addition for Kenny Payne. #NextUp https://t.co/yLK2EgkAm8",2022-05-04T14:41:35.000Z,0,,,NextUp,https://twitter.com/NextUpHayden/status/1521862608680275970/photo/1
14,1521862124401827841,thecbbmecca,2,85,"RT @On3sports: On3's @JamieShaw5 has placed a prediction for Louisville to land Memphis transfer Emoni Bates👀

Intel (On3+) https://t.co/Tf…",2022-05-04T14:39:39.000Z,11,"1294350150052335616,308623857","On3sports,JamieShaw5",,
15,1521861891252961283,CoachGeekMike,1786,1459,"RT @crawford3vicki: Nashville Bound!
Victoria Crawford hired as Fisk's new women's basketball coach https://t.co/ALJfUp3I52",2022-05-04T14:38:44.000Z,15,875414390253780993,crawford3vicki,,https://www.tennessean.com/story/sports/2022/05/03/victoria-crawford-hired-fisk-new-womens-basketball-coach-memphis-lincoln-college/9626800002/
16,1521861656271368194,LukeStampini,14212,348,"RT @On3sports: On3's @JamieShaw5 has placed a prediction for Louisville to land Memphis transfer Emoni Bates👀

Intel (On3+) https://t.co/Tf…",2022-05-04T14:37:48.000Z,11,"1294350150052335616,308623857","On3sports,JamieShaw5",,
17,1521861502763896832,Pwizzle61,8,121,"Damn that Memphis Basketball team is dirty as fuck. Smh. Suspend the whole team, they can come back next year with an attitude adjustment. #DirtyAssMemphis",2022-05-04T14:37:11.000Z,0,,,DirtyAssMemphis,
18,1521861317321240577,TheSportProhet,522,894,"@ThePackageJG It's Klay,he isn't shooting well, passing or defending.  He's playing selfish, Steph,Poole, Wiggins,Dray, looney was the best defensive team in basketball, also hunt ja they ran the guard to guard pnr and Memphis couldn't guard it,Dray needs it be better on offense. https://t.co/7oUA74YiF8",2022-05-04T14:36:27.000Z,0,741680044007948288,ThePackageJG,,https://twitter.com/timkawakami/status/1521859112996323334
19,1521860531983945728,JamieShaw5,34642,6813,"RT @On3sports: On3's @JamieShaw5 has placed a prediction for Louisville to land Memphis transfer Emoni Bates👀

Intel (On3+) https://t.co/Tf…",2022-05-04T14:33:20.000Z,11,"1294350150052335616,308623857","On3sports,JamieShaw5",,
20,1521860371870633985,Fade2bald_30,1260,815,"RT @KoryEWoods: Spoke to a source this morning with close knowledge of Emoni Bates’ exit from Memphis. 

Bates’ behavior along conversation…",2022-05-04T14:32:42.000Z,91,2770212992,KoryEWoods,,
