,id,username,user_followers_count,user_following_count,text,created_at,retweet_count,mentioned_user_ids,mentioned_user_names,hashtags,urls
0,1521869553281736709,TatumFan4Life,153,474,"RT @KeithSmithNBA: Takeaways from Boston-Milwaukee Game 2 are up for @celticsblog:

-Playing Celtics basketball
-Brown breaks out early
-Ta…",2022-05-04T15:09:11.000Z,1,"143629311,14331674","KeithSmithNBA,celticsblog",,
1,1521869328651632640,KeithSmithNBA,88401,929,"Takeaways from Boston-Milwaukee Game 2 are up for @celticsblog:

-Playing Celtics basketball
-Brown breaks out early
-Tatum takes over late
-Drive-and-kick again and again
-Containing Giannis
-Limiting TOs and transition
-Pushing pace
-Holding them at bay

https://t.co/k1zOIJa7l7",2022-05-04T15:08:17.000Z,1,14331674,celticsblog,,https://www.celticsblog.com/2022/5/4/23056846/back-to-celtics-basketball-10-takeaways-from-boston-celtics-milwaukee-bucks
2,1521868812781502466,celticsblog,94564,1926,"Back to Celtics basketball: 10 Takeaways from Celtics-Bucks

@KeithSmithNBA saw Boston get back to playing their brand of basketball to even the series at 1-1 https://t.co/oWxAsxb60S https://t.co/6L7hDhlT1T",2022-05-04T15:06:14.000Z,0,143629311,KeithSmithNBA,,"https://www.celticsblog.com/2022/5/4/23056846/back-to-celtics-basketball-10-takeaways-from-boston-celtics-milwaukee-bucks?utm_campaign=celticsblog&utm_content=chorus&utm_medium=social&utm_source=twitter,https://twitter.com/celticsblog/status/1521868812781502466/photo/1"
3,1521867444675125249,WICorrections,651,158,"#CaptionCorrections: Members of Redgranite Correctional Institution's Color Guard team presenting the colors prior to a Milwaukee Bucks basketball game on Badge night.  

📸: Butch Dodd, Restrictive Housing Lieutenant https://t.co/uV8bRJnNmZ",2022-05-04T15:00:48.000Z,0,,,CaptionCorrections,https://twitter.com/WICorrections/status/1521867444675125249/photo/1
4,1521861123653443592,manouch24,0,46,"RT @BCGameOfficial: 📢Who is the Player? 

Hint- Milwaukee Bucks 😉

✅Start Playing: https://t.co/seT3yEItNG

#OnlineSlot #BCGAMESquad #Baske…",2022-05-04T14:35:41.000Z,15,1306070606056546305,BCGameOfficial,"OnlineSlot,BCGAMESquad",https://bc.game/sports
5,1521859920433487874,mke_terrence,366,166,"@SnellSZN I think Stan has some pretty astute basketball takes. Even as the C's were piling it on Stan kept insisting their lack of paint points was troubling. He tries (in vain) to be funny, BA probably goes to far to hide his Milwaukee affiliation with the ""out of town stupid"" act.",2022-05-04T14:30:54.000Z,0,1064307329838051329,SnellSZN,,
6,1521856882914304003,thebreaksong,1242,5001,—Communications: RT. #basketball #nbabasketball [https://t.co/uuo2ZTdUzL] @NBA @NBAcom #NBA #NBATwitter #NBATwitterLive Semifinals: Milwaukee Bucks #FearTheDeer vs. Boston Celtics #BleedGreen . https://t.co/eKDw7FQO8l,2022-05-04T14:18:50.000Z,0,"19923144,1373313666","NBA,NBAcom","basketball,nbabasketball,NBA,NBATwitter,NBATwitterLive,FearTheDeer,BleedGreen","http://www.nba.com,https://twitter.com/thebreaksong/status/1521856882914304003/photo/1"
7,1521856061501849600,thebreaksong,1242,5001,—Communications: RT. #basketball #nbabasketball [https://t.co/uuo2ZTdUzL] @NBA @NBAcom #NBA #NBATwitter #NBATwitterLive Sat.: Boston Celtics #BleedGreen at Milwaukee Bucks #FearTheDeer . 3:30 PM EDT. https://t.co/lBnqa4YIGn,2022-05-04T14:15:34.000Z,0,"19923144,1373313666","NBA,NBAcom","basketball,nbabasketball,NBA,NBATwitter,NBATwitterLive,BleedGreen,FearTheDeer","http://www.nba.com,https://twitter.com/thebreaksong/status/1521856061501849600/photo/1"
8,1521856026571685888,jmlegault11,23,61,"RT @leavingforla: Shop #FearTheDeer   frames, prints, posters, mugs, puzzles, phone cases and more @ &gt;&gt; https://t.co/Xv6KQUYIgU &lt;&lt; #NBA #NB…",2022-05-04T14:15:26.000Z,1,158577305,leavingforla,"FearTheDeer,NBA",https://fineartamerica.com/featured/milwaukee-bucks-nba-basketball-sportspop-art.html
9,1521855997140246529,thebreaksong,1242,5001,—Communications: RT. #basketball #nbabasketball [https://t.co/uuo2ZTdUzL] @NBA @NBAcom #NBA #NBATwitter #NBATwitterLive Mon.: Boston Celtics #BleedGreen at Milwaukee Bucks #FearTheDeer . 7:30 PM EDT. https://t.co/vC9TwKnNxH,2022-05-04T14:15:19.000Z,0,"19923144,1373313666","NBA,NBAcom","basketball,nbabasketball,NBA,NBATwitter,NBATwitterLive,BleedGreen,FearTheDeer","http://www.nba.com,https://twitter.com/thebreaksong/status/1521855997140246529/photo/1"
10,1521855907965149186,thebreaksong,1242,5001,—Communications: RT. #basketball #nbabasketball [https://t.co/uuo2ZTdUzL] @NBA @NBAcom #NBA #NBATwitter #NBATwitterLive Wed.: Milwaukee Bucks #FearTheDeer vs. Boston Celtics #BleedGreen . TBD. https://t.co/NAC7dKC181,2022-05-04T14:14:57.000Z,0,"19923144,1373313666","NBA,NBAcom","basketball,nbabasketball,NBA,NBATwitter,NBATwitterLive,FearTheDeer,BleedGreen","http://www.nba.com,https://twitter.com/thebreaksong/status/1521855907965149186/photo/1"
11,1521855796866437123,thebreaksong,1242,5001,"—Communications: RT. #basketball #nbabasketball [https://t.co/uuo2ZTdUzL] @NBA @NBAcom #NBA #NBATwitter #NBATwitterLive Next Fri.: Boston Celtics #BleedGreen at Milwaukee Bucks #FearTheDeer . (If, necessary.) TBD. https://t.co/fO9Y24WNaH",2022-05-04T14:14:31.000Z,0,"19923144,1373313666","NBA,NBAcom","basketball,nbabasketball,NBA,NBATwitter,NBATwitterLive,BleedGreen,FearTheDeer","http://www.nba.com,https://twitter.com/thebreaksong/status/1521855796866437123/photo/1"
12,1521855688359698432,thebreaksong,1242,5001,"—Communications: RT. #basketball #nbabasketball [https://t.co/uuo2ZTdUzL] @NBA @NBAcom #NBA #NBATwitter #NBATwitterLive Next Sun.: Milwaukee Bucks #FearTheDeer vs. Boston Celtics #BleedGreen . (If, necessary.) TBD. https://t.co/zNPMTUAinR",2022-05-04T14:14:05.000Z,0,"19923144,1373313666","NBA,NBAcom","basketball,nbabasketball,NBA,NBATwitter,NBATwitterLive,FearTheDeer,BleedGreen","http://www.nba.com,https://twitter.com/thebreaksong/status/1521855688359698432/photo/1"
13,1521855173391523840,jmlegault11,23,61,"RT @habshype: Shop #FearTheDeer   frames, prints, posters, mugs, puzzles, phone cases and more @ &gt;&gt; https://t.co/aHeVjPev5S &lt;&lt; #NBA #NBA75…",2022-05-04T14:12:02.000Z,1,313722443,habshype,"FearTheDeer,NBA,NBA75",https://fineartamerica.com/featured/milwaukee-bucks-nba-basketball-sportspop-art.html
14,1521848456255524865,RosaMar69565575,158,131,RT @UNoticias: Boston iguala la serie 1-1 e irán de visita el próximo sábado a Milwaukee https://t.co/pxl0O7UFXg,2022-05-04T13:45:21.000Z,1,76931020,UNoticias,,https://www.liderendeportes.com/noticias/basketball/brown-y-tatum-guian-la-victoria-de-celtics-sobre-bucks/
15,1521842718430871552,LiderEsDeporte,131805,673,Boston iguala la serie 1-1 e irán de visita el próximo sábado a Milwaukee https://t.co/XuxRRbgMfW,2022-05-04T13:22:33.000Z,0,,,,https://www.liderendeportes.com/?p=2129978
16,1521833957041397761,LiderEsDeporte,131805,673,Boston iguala la serie 1-1 e irán de visita el próximo sábado a Milwaukee https://t.co/3aI7I3k0PO,2022-05-04T12:47:44.000Z,0,,,,https://www.liderendeportes.com/noticias/basketball/brown-y-tatum-guian-la-victoria-de-celtics-sobre-bucks/
17,1521833947402891264,UNoticias,4449308,98474,Boston iguala la serie 1-1 e irán de visita el próximo sábado a Milwaukee https://t.co/pxl0O7UFXg,2022-05-04T12:47:42.000Z,1,,,,https://www.liderendeportes.com/noticias/basketball/brown-y-tatum-guian-la-victoria-de-celtics-sobre-bucks/
18,1521828040992563201,ChadMReese,1587,1517,"What is the ceiling for Ja? Is Memphis a serious title contending team? When healthy, Denver/Milwaukee/Philly are all incredible. Suns and Heat are playing beautiful team ball, basically mini-Spurs, and the Celtics might be inevitable? Hurray for basketball!",2022-05-04T12:24:13.000Z,0,,,,
19,1521824461686779910,RichSlate,1093,2000,"RT @salemnewssports: Jaylen Brown heard the slander. He responded in a big way Tuesday night, and as a result his Boston Celtics tied their…",2022-05-04T12:10:00.000Z,2,51073549,salemnewssports,,
