TEAM,CONF,ADJOE,ADJDE,BARTHAG
Gonzaga,WCC,123.4,89.9,0.9744
Virginia,ACC,123,89.9,0.9736
Duke,ACC,118.9,89.2,0.9646
North Carolina,ACC,120.1,91.4,0.9582
Michigan,B10,114.6,85.6,0.9665
Michigan St.,B10,119.9,91,0.9597
Kentucky,SEC,117.5,89.8,0.9568
Tennessee,SEC,122.8,95.2,0.9488
Texas Tech,B12,115.2,85.2,0.9696
Purdue,B10,122.8,94.3,0.9539
Houston,Amer,115.7,90.5,0.9439
LSU,SEC,117.9,96.6,0.9081
Virginia Tech,ACC,117.8,93.4,0.9357
Kansas St.,B12,108,87.8,0.9151
Florida St.,ACC,111.7,90.9,0.9146
Kansas,B12,112.9,92.4,0.9092
Auburn,SEC,121.3,95.2,0.942
Wisconsin,B10,108.2,88.6,0.9089
Mississippi St.,SEC,116.9,96.8,0.898
Marquette,BE,111.7,95.9,0.8524
Iowa St.,B12,118.4,96.6,0.912
Maryland,B10,111.6,93.3,0.8875
Buffalo,MAC,113.6,95.3,0.8819
Villanova,BE,114.6,98.9,0.8448
Louisville,ACC,112.9,93.1,0.9023
Wofford,SC,116.4,97.1,0.8892
Cincinnati,Amer,112.3,93.8,0.8871
Nevada,MWC,112.5,95.9,0.8618
VCU,A10,104.6,87.6,0.8838
Syracuse,ACC,110.5,94.2,0.8622
Mississippi,SEC,113.3,97.9,0.8433
Utah St.,MWC,111.3,96.8,0.8329
UCF,Amer,112.7,93.3,0.898
Oklahoma,B12,110.5,93.1,0.878
Baylor,B12,114.6,99.2,0.84
Washington,P12,105.6,93.1,0.8097
Florida,SEC,110.3,91.6,0.8947
Iowa,B10,116.1,100.6,0.8385
Minnesota,B10,110.4,96.3,0.8284
Seton Hall,BE,107.9,96.9,0.7749
Saint Mary's,WCC,113.1,96.3,0.8637
Ohio St.,B10,107.8,93.8,0.8329
Belmont,OVC,114.9,101,0.8138
Temple,Amer,109.4,97.6,0.7866
Arizona St.,P12,108.7,97.6,0.775
St. John's,BE,107.4,99.5,0.7067
Oregon,P12,108.1,91.7,0.8687
New Mexico St.,WAC,111.8,98.2,0.8155
Murray St.,OVC,110.4,98.6,0.7852
Liberty,BSth,109.2,99.6,0.7428
